Temperature (K),Hard Sphere,Square Well,Lennard-Jones
193.93939393939394,4.9353334537198385e+25,4.626127801134433e+25,2.581881083943569e+25
202.02020202020202,4.9353334537198385e+25,4.6386506821214e+25,2.573979782473773e+25
210.1010101010101,4.9353334537198385e+25,4.650198734114731e+25,2.565902932987365e+25
218.1818181818182,4.9353334537198385e+25,4.660881514638845e+25,2.5577032189817603e+25
226.26262626262627,4.9353334537198385e+25,4.670792757620894e+25,2.549423291263744e+25
234.34343434343435,4.9353334537198385e+25,4.680013130521351e+25,2.5410977663141387e+25
242.42424242424244,4.9353334537198385e+25,4.688612434408042e+25,2.532754788145402e+25
250.50505050505052,4.9353334537198385e+25,4.696651373999111e+25,2.5244172583154066e+25
258.5858585858586,4.9353334537198385e+25,4.704182992642199e+25,2.5161038114218034e+25
266.6666666666667,4.9353334537198385e+25,4.711253843962299e+25,2.507829593773947e+25
274.74747474747477,4.9353334537198385e+25,4.7179049548812836e+25,2.4996068886937656e+25
282.82828282828285,4.9353334537198385e+25,4.724172622099629e+25,2.4914456214517626e+25
290.90909090909093,4.9353334537198385e+25,4.7300890746981264e+25,2.483353769112363e+25
298.989898989899,4.9353334537198385e+25,4.735683028397959e+25,2.475337694788685e+25
307.0707070707071,4.9353334537198385e+25,4.740980151597807e+25,2.4674024214581003e+25
315.1515151515152,4.9353334537198385e+25,4.746003459147399e+25,2.4595518571897026e+25
323.23232323232327,4.9353334537198385e+25,4.7507736466005825e+25,2.4517889811111235e+25
331.31313131313135,4.9353334537198385e+25,4.7553093751860764e+25,2.444115997499209e+25
339.39393939393943,4.9353334537198385e+25,4.759627515769636e+25,2.436534463873515e+25
347.4747474747475,4.9353334537198385e+25,4.763743358531121e+25,2.429045397797192e+25
355.5555555555556,4.9353334537198385e+25,4.767670793849067e+25,2.421649366169047e+25
363.6363636363637,4.9353334537198385e+25,4.771422468902091e+25,2.41434656006409e+25
371.71717171717177,4.9353334537198385e+25,4.7750099237071885e+25,2.4071368576038353e+25
379.79797979797985,4.9353334537198385e+25,4.778443709677482e+25,2.4000198768787874e+25
387.8787878787879,4.9353334537198385e+25,4.7817334932650446e+25,2.3929950205778667e+25
395.95959595959596,4.9353334537198385e+25,4.784888146832879e+25,2.3860615136841543e+25
404.04040404040404,4.9353334537198385e+25,4.787915828554951e+25,2.379218435357282e+25
412.1212121212121,4.9353334537198385e+25,4.79082405285936e+25,2.3724647459294667e+25
420.2020202020202,4.9353334537198385e+25,4.7936197526952e+25,2.3657993097841712e+25
428.2828282828283,4.9353334537198385e+25,4.796309334709285e+25,2.3592209147576756e+25
436.3636363636364,4.9353334537198385e+25,4.798898728257063e+25,2.3527282885980405e+25
444.44444444444446,4.9353334537198385e+25,4.8013934290368835e+25,2.346320112928882e+25
452.52525252525254,4.9353334537198385e+25,4.803798538023369e+25,2.3399950350936067e+25
460.6060606060606,4.9353334537198385e+25,4.806118796280315e+25,2.3337516781961344e+25
468.6868686868687,4.9353334537198385e+25,4.8083586161530935e+25,2.327588649604768e+25
476.7676767676768,4.9353334537198385e+25,4.810522109272329e+25,2.3215045481445408e+25
484.8484848484849,4.9353334537198385e+25,4.81261311174277e+25,2.3154979701691066e+25
492.92929292929296,4.9353334537198385e+25,4.814635206842031e+25,2.3095675146742254e+25
501.01010101010104,4.9353334537198385e+25,4.816591745511711e+25,2.303711787590817e+25
509.0909090909091,4.9353334537198385e+25,4.818485864887415e+25,2.2979294053750797e+25
517.1717171717172,4.9353334537198385e+25,4.820320505083194e+25,2.292218997996009e+25
525.2525252525253,4.9353334537198385e+25,4.8220984244192595e+25,2.2865792114061125e+25
533.3333333333334,4.9353334537198385e+25,4.823822213258911e+25,2.281008709568732e+25
541.4141414141415,4.9353334537198385e+25,4.825494306600578e+25,2.2755061761049782e+25
549.4949494949495,4.9353334537198385e+25,4.827116995553763e+25,2.2700703156143917e+25
557.5757575757576,4.9353334537198385e+25,4.828692437812606e+25,2.264699854715779e+25
